_id,deviceId,resolution,frame_rate,lens_type,lens_focal_length,iris_type,iris_range,day_night_mode,min_illumination,wdr,noise_reduction,backlight_compensation,image_flip,image_rotation,device_type,sensor_type,power_source,weatherproof_rating,operating_temperature,storage_temperature,dimensions,weight,audio_input,audio_output,power_over_ethernet,wireless,storage
661de147f4011c2dd68ffa3a,Device_1,1920x1080,60 fps,Varifocal,6mm,Auto,F2.0,Night,0.01 lux,On,3D DNR,Off,Off,90°,Dome,CCD,12V DC,IP65,0°C to 40°C,0°C to 60°C,100x100x100mm,1kg,Built-in microphone,No audio output,Non-PoE,None,MicroSD card
661de147f4011c2dd68ffa3b,Device_2,1280x720,60 fps,Fixed,8mm,Fixed,F4.0,Auto,0.1 lux,Off,No DNR,Off,On,270°,PTZ,CMOS,PoE,IP65,-20°C to 50°C,-20°C to 80°C,150x150x150mm,1kg,No audio input,Built-in speaker,PoE,None,MicroSD card
661de148f4011c2dd68ffa3c,Device_3,1920x1080,60 fps,Fixed,4mm,Fixed,F2.8,Night,0.1 lux,Off,3D DNR,Off,Off,270°,Bullet,CCD,PoE,IP67,-10°C to 60°C,-40°C to 70°C,200x200x200mm,3kg,No audio input,No audio output,Non-PoE,Wi-Fi,Internal memory
661de148f4011c2dd68ffa3d,Device_4,1920x1080,60 fps,Varifocal,8mm,Fixed,F2.8,Auto,0.05 lux,On,2D DNR,Off,On,90°,Bullet,CMOS,24V AC,IP67,0°C to 40°C,-40°C to 70°C,100x100x100mm,3kg,Built-in microphone,External speaker,Non-PoE,None,MicroSD card
661de148f4011c2dd68ffa3e,Device_5,1280x720,120 fps,Varifocal,8mm,Fixed,F2.8,Day,0.1 lux,On,3D DNR,On,Off,270°,PTZ,CMOS,PoE,IP67,-10°C to 60°C,-40°C to 70°C,200x200x200mm,1kg,Built-in microphone,External speaker,Non-PoE,Wi-Fi,Internal memory
661de148f4011c2dd68ffa3f,Device_6,1920x1080,120 fps,Fixed,8mm,Fixed,F2.0,Auto,0.1 lux,Off,3D DNR,On,Off,180°,Dome,CCD,24V AC,IP65,0°C to 40°C,-20°C to 80°C,150x150x150mm,3kg,Built-in microphone,External speaker,PoE,NFC,External hard drive
661de148f4011c2dd68ffa40,Device_7,2560x1440,30 fps,Fixed,8mm,Fixed,F2.8,Day,0.01 lux,Off,2D DNR,Off,Off,270°,PTZ,CMOS,24V AC,IP65,0°C to 40°C,-20°C to 80°C,150x150x150mm,1kg,Built-in microphone,Built-in speaker,PoE,NFC,Internal memory
661de148f4011c2dd68ffa41,Device_8,1280x720,120 fps,Varifocal,4mm,Auto,F2.0,Auto,0.01 lux,On,2D DNR,On,On,270°,Dome,CCD,12V DC,IP65,-20°C to 50°C,-40°C to 70°C,100x100x100mm,1kg,Built-in microphone,External speaker,Non-PoE,Bluetooth,SD card
661de148f4011c2dd68ffa42,Device_9,1920x1080,30 fps,Varifocal,8mm,Auto,F2.0,Day,0.05 lux,Off,3D DNR,On,On,180°,PTZ,CCD,12V DC,IP67,-10°C to 60°C,-20°C to 80°C,100x100x100mm,3kg,No audio input,Built-in speaker,Non-PoE,None,Internal memory
661de148f4011c2dd68ffa43,Device_10,1280x720,30 fps,Fixed,8mm,Auto,F4.0,Auto,0.01 lux,Off,2D DNR,On,On,180°,Dome,CCD,12V DC,IP65,-20°C to 50°C,0°C to 60°C,150x150x150mm,3kg,Built-in microphone,Built-in speaker,Non-PoE,Wi-Fi,SD card
661de148f4011c2dd68ffa44,Device_11,1920x1080,30 fps,Fixed,4mm,Auto,F2.8,Auto,0.1 lux,Off,3D DNR,On,On,180°,Dome,CMOS,PoE,IP67,-10°C to 60°C,-40°C to 70°C,200x200x200mm,1kg,External microphone,No audio output,PoE,Bluetooth,Internal memory
661de148f4011c2dd68ffa45,Device_12,1280x720,60 fps,Fixed,6mm,Auto,F2.8,Auto,0.01 lux,On,No DNR,Off,Off,90°,PTZ,CCD,24V AC,IP65,-10°C to 60°C,-40°C to 70°C,100x100x100mm,2kg,External microphone,No audio output,PoE,NFC,External hard drive
661de148f4011c2dd68ffa46,Device_13,1920x1080,60 fps,Fixed,6mm,Auto,F2.8,Auto,0.1 lux,Off,3D DNR,On,On,270°,Dome,CMOS,24V AC,IP65,-20°C to 50°C,0°C to 60°C,100x100x100mm,1kg,Built-in microphone,External speaker,Non-PoE,Wi-Fi,SD card
661de148f4011c2dd68ffa47,Device_14,2560x1440,30 fps,Varifocal,6mm,Fixed,F2.0,Night,0.05 lux,Off,3D DNR,Off,Off,180°,Bullet,CMOS,12V DC,IP67,0°C to 40°C,-20°C to 80°C,150x150x150mm,2kg,Built-in microphone,External speaker,PoE,None,MicroSD card
661de148f4011c2dd68ffa48,Device_15,2560x1440,60 fps,Fixed,4mm,Auto,F2.8,Night,0.1 lux,On,2D DNR,On,Off,180°,Bullet,CCD,24V AC,IP65,-10°C to 60°C,-40°C to 70°C,100x100x100mm,1kg,External microphone,Built-in speaker,PoE,NFC,Internal memory
661de148f4011c2dd68ffa49,Device_16,1280x720,120 fps,Varifocal,6mm,Auto,F2.8,Auto,0.1 lux,Off,2D DNR,Off,Off,90°,PTZ,CCD,12V DC,IP65,-10°C to 60°C,-40°C to 70°C,100x100x100mm,1kg,No audio input,No audio output,PoE,NFC,Internal memory
661de148f4011c2dd68ffa4a,Device_17,2560x1440,60 fps,Fixed,6mm,Fixed,F2.0,Night,0.1 lux,Off,3D DNR,On,On,180°,Dome,CCD,24V AC,IP67,-10°C to 60°C,-40°C to 70°C,100x100x100mm,1kg,External microphone,No audio output,Non-PoE,Wi-Fi,SD card
661de148f4011c2dd68ffa4b,Device_18,2560x1440,120 fps,Varifocal,6mm,Fixed,F4.0,Day,0.01 lux,On,3D DNR,Off,Off,270°,Dome,CMOS,12V DC,IP66,-10°C to 60°C,0°C to 60°C,150x150x150mm,2kg,Built-in microphone,Built-in speaker,Non-PoE,None,External hard drive
661de148f4011c2dd68ffa4c,Device_19,2560x1440,120 fps,Varifocal,8mm,Fixed,F2.0,Day,0.1 lux,Off,2D DNR,On,On,90°,Bullet,CMOS,12V DC,IP66,0°C to 40°C,-40°C to 70°C,200x200x200mm,3kg,No audio input,No audio output,PoE,None,MicroSD card
661de149f4011c2dd68ffa4d,Device_20,1280x720,60 fps,Varifocal,8mm,Fixed,F4.0,Night,0.01 lux,Off,2D DNR,Off,Off,270°,Bullet,CMOS,12V DC,IP65,0°C to 40°C,-40°C to 70°C,200x200x200mm,2kg,Built-in microphone,External speaker,PoE,NFC,External hard drive
661de149f4011c2dd68ffa4e,Device_21,2560x1440,120 fps,Fixed,8mm,Auto,F4.0,Day,0.1 lux,On,3D DNR,Off,On,180°,Dome,CCD,12V DC,IP65,-10°C to 60°C,0°C to 60°C,150x150x150mm,3kg,No audio input,No audio output,Non-PoE,Bluetooth,External hard drive
661de149f4011c2dd68ffa4f,Device_22,1280x720,120 fps,Fixed,6mm,Auto,F2.0,Auto,0.1 lux,Off,2D DNR,Off,On,270°,Bullet,CMOS,PoE,IP65,-10°C to 60°C,-40°C to 70°C,150x150x150mm,2kg,No audio input,No audio output,PoE,Wi-Fi,Internal memory
661de149f4011c2dd68ffa50,Device_23,1920x1080,60 fps,Fixed,6mm,Auto,F2.0,Day,0.1 lux,Off,3D DNR,Off,On,270°,Bullet,CCD,12V DC,IP67,-10°C to 60°C,0°C to 60°C,200x200x200mm,2kg,Built-in microphone,External speaker,Non-PoE,Wi-Fi,External hard drive
661de149f4011c2dd68ffa51,Device_24,2560x1440,30 fps,Fixed,4mm,Auto,F2.8,Night,0.05 lux,On,2D DNR,On,Off,180°,PTZ,CMOS,PoE,IP65,-20°C to 50°C,0°C to 60°C,150x150x150mm,1kg,External microphone,Built-in speaker,Non-PoE,Bluetooth,SD card
661de149f4011c2dd68ffa52,Device_25,1920x1080,30 fps,Fixed,4mm,Fixed,F2.8,Auto,0.01 lux,Off,No DNR,On,On,180°,Dome,CMOS,PoE,IP67,0°C to 40°C,-40°C to 70°C,200x200x200mm,3kg,External microphone,Built-in speaker,PoE,None,MicroSD card
661de149f4011c2dd68ffa53,Device_26,2560x1440,30 fps,Fixed,4mm,Auto,F2.8,Auto,0.05 lux,On,No DNR,Off,Off,270°,PTZ,CMOS,12V DC,IP65,-10°C to 60°C,-40°C to 70°C,100x100x100mm,1kg,External microphone,External speaker,PoE,None,External hard drive
661de149f4011c2dd68ffa54,Device_27,1280x720,30 fps,Fixed,6mm,Auto,F4.0,Night,0.05 lux,Off,3D DNR,Off,Off,180°,PTZ,CCD,12V DC,IP67,-20°C to 50°C,-40°C to 70°C,150x150x150mm,3kg,External microphone,Built-in speaker,Non-PoE,NFC,External hard drive
